R,oo
1,3
2,5
3,2
4,3
5,2
6,2
7,1
8,3
9,3
10,1
11,1
12,3
13,1
14,1
15,1
16,1
17,3
18,1
19,5
20,1
21,5
22,1
23,3
24,1
25,1
26,3
27,3
28,1
29,1
30,1
31,3
32,3
33,5
34,1
35,5
36,1
37,2
38,1
39,2
40,5
41,1
42,3
43,3
44,3
45,1
46,3
47,1
48,2
49,1
50,3
51,5
52,1
53,1
54,3
55,1
56,3
57,1
58,1
59,1
60,5
61,2
62,5
63,1
64,3
65,1
66,1
67,2
68,2
69,1
70,1
71,1
72,3
73,2
74,1
75,3
76,1
77,2
78,3
79,1
80,1
81,2
82,3
83,1
84,3
85,1
86,3
87,3
88,3
89,1
90,1
91,1
92,1
93,1
94,3
95,1
96,1
97,1
98,1
99,1
100,1
101,3
102,3
103,3
104,1
105,1
106,3
107,1
108,1
109,1
110,3
111,2
112,3
113,3
114,3
115,3
116,1
117,1
118,3
119,1
120,1
121,3
122,1
123,1
124,1
125,3
126,1
127,1
128,5
129,3
130,1
131,2
132,3
133,3
134,3
135,3
136,1
137,3
138,3
139,1
140,3
141,3
142,3
143,2
144,5
145,3
146,1
147,1
148,1
149,2
150,1
151,3
152,1
153,2
154,1
155,2
156,3
157,1
158,1
159,1
160,3
161,1
162,1
163,3
164,1
165,1
166,3
167,3
168,1
169,1
170,3
171,1
172,3
173,1
174,3
175,1
176,1
177,1
178,3
179,1
180,1
181,1
182,1
183,2
184,3
185,1
186,1
187,5
188,1
189,3
190,3
191,1
192,1
193,5
194,3
195,1
196,1
197,1
198,1
199,1
200,1
201,1
202,1
203,3
204,3
205,1
206,1
207,3
208,1
209,3
210,1
211,1
212,1
213,3
214,3
215,3
216,1
217,3
218,3
219,1
220,1
221,5
222,3
223,1
224,2
225,2
226,3
227,3
228,1
229,1
230,1
231,3
232,1
233,1
234,1
235,1
236,1
237,1
238,1
239,1
240,1
241,3
242,1
243,1
244,3
245,1
246,3
247,3
248,1
249,1
250,1
251,3
252,1
253,3
254,1
255,3
256,1
257,1
258,3
259,5
260,1
261,1
262,1
263,3
264,3
265,1
266,2
267,1
268,1
269,3
270,1
271,1
272,1
273,1
274,1
275,3
276,1
277,3
278,2
279,3
280,1
281,1
282,1
283,1
284,3
285,3
286,3
287,2
288,2
289,1
290,3
291,1
292,1
293,1
294,1
295,1
296,3
297,1
298,3
299,5
300,2
301,3
302,1
303,3
304,1
305,3
306,2
307,1
308,3
309,1
310,1
311,3
312,2
313,3
314,5
315,3
316,3
317,3
318,3
319,3
320,5
321,3
322,3
